ami,english,source,kindOf,dialect,row_type,split
sa'osi,true,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,lexeme,train
honihoni,frequently,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,lexeme,train
Layapen.,Take.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,lexeme,train
Ota'en!,Vomit.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,lexeme,train
sapisasing,camera,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN,lexeme,train
SIRO,Silo,FormosanBank/Corpora/MontgomeryTexts/XML/Silo.xml,standard,UNKNOWN,lexeme,train
Hayi!,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
Irato.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
Hai.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Malan_Amis.xml,standard,Malan,lexeme,train
Iraay.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Malan_Amis.xml,standard,Malan,lexeme,train
iraay.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Hengchun_Amis.xml,standard,Hengchun,lexeme,train
Hay.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Xiuguluan_Amis.xml,standard,Xiuguluan,lexeme,train
hayi.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Amis/Coastal_Amis.xml,standard,Coastal,lexeme,train
cacay,one,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tosa,two,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
tolo,three,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
sepat,four,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
lima,five,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
enem,six,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
pito,seven,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
walo,eight,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
siwa,nine,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
moketep,ten,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
patekenan,hundred,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
hatini,some,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kinacacay,once,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
volilan,bunch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kalomaanay,kind,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
maramod,pair,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
amin,entire,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
latosa,half,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kiso,you,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
kako,I,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
cira,he,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Southern_Amis.xml,standard,Southern,lexeme,train
