bnn,english,source,kindOf,dialect,row_type,split
ai.,Uhm,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,standard,UNKNOWN,lexeme,train
'oang.,woof,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,standard,UNKNOWN,lexeme,train
at.,Then,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,standard,UNKNOWN,lexeme,train
ka.,then,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,standard,UNKNOWN,lexeme,train
aopa.,because,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Laniahu.xml,standard,UNKNOWN,lexeme,train
goole.,enough,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,standard,UNKNOWN,lexeme,train
haito.,But,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-pear_Laniahu.xml,standard,UNKNOWN,lexeme,train
mihomisang.,Hello,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-pear_Hanaivaz.xml,standard,UNKNOWN,lexeme,train
oka.,No.,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Ciang.xml,standard,UNKNOWN,lexeme,train
a.,Ah,Formosan-NTU/Final_XML/Stories/Bunun/Bunun_bnNr-frog_Ciang.xml,standard,UNKNOWN,lexeme,train
palkapatazan.,battlefield,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
pasampanahan.,battlefield,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
monhohoma.,farmer,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
palkapatazan.,battlefield.,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
pasampanahan.,battlefield.,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
aminon.,Cheers!,Formosan-NTU/Final_XML/Sentences/Bunun/Bunun.xml,standard,UNKNOWN,lexeme,train
Uo!,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
heza.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
Haiza.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Tanqun_Bunun.xml,standard,Tanqun,lexeme,train
Ung.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Junqun_Bunun.xml,standard,Junqun,lexeme,train
aiza.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Junqun_Bunun.xml,standard,Junqun,lexeme,train
o.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Kaqun_Bunun.xml,standard,Kaqun,lexeme,train
Heza.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Kaqun_Bunun.xml,standard,Kaqun,lexeme,train
Uo.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Bunun/Zhuoqun_Bunun.xml,standard,Zhuoqun,lexeme,train
tas'a,one,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
dosa,two,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
tao,three,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
paat,four,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
hima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
noom,six,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
pito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
vao,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
siva,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mas'an,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
maposan,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mati'on,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
masipaton,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mahima'on,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
manomon,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mapito'on,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mavao'on,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
masiva'on,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
sabah,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
mos'an,once,Formosan-ePark/Final_XML/ep2_學習詞表/Bunun/Luanqun_Bunun.xml,standard,Luanqun,lexeme,train
