ckv,chinese,source,kindOf,dialect,row_type,split
tosayza,真是的,Formosan-ILRDF-YouTube-Videos/Final_XML/Kavalan/374.xml,standard,UNKNOWN,lexeme,train
zazaka.,就這樣。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-pear_api.xml,standard,UNKNOWN,lexeme,train
haw.,真的嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,lexeme,train
tisiciang?.,Siciang?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
Rana.,石頭花。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
qakikya.,很快。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
mlinemnem.,沈下去了。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
naqoniakita.,我們該怎麼辦呢?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
tmaqsi.,讀書的時候呢?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
ita.,我不知道。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-home_buya_imuy.xml,standard,UNKNOWN,lexeme,train
sapaqonian.,不要就不要。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-angry_pilaw_abas.xml,standard,UNKNOWN,lexeme,train
mqila.,有罵嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-angry_pilaw_abas.xml,standard,UNKNOWN,lexeme,train
tipanbolongan.,潘武郎那邊嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KacCon-Teaching Weaving_abas_ipay.xml,standard,UNKNOWN,lexeme,train
biyat.,青蛙嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_api2.xml,standard,UNKNOWN,lexeme,train
tazian.,這邊。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_api2.xml,standard,UNKNOWN,lexeme,train
qalimekka.,安靜。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_api2.xml,standard,UNKNOWN,lexeme,train
nayao.,就這樣。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_api2.xml,standard,UNKNOWN,lexeme,train
an.,是的。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
kyataya.,媽的!,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
palingsiwanso.,你讓他練習嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
izaika.,這樣做。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
a.,A.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-banana trees_abas_ipay2.xml,standard,UNKNOWN,lexeme,train
ko.,貓頭鷹。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_imuy_longversion.xml,standard,UNKNOWN,lexeme,train
mqaqayton.,騎車。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-pear_abas.xml,standard,UNKNOWN,lexeme,train
tmanan.,回來。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-pear_imuy.xml,standard,UNKNOWN,lexeme,train
tenozanna.,被追。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_Haciang.xml,standard,UNKNOWN,lexeme,train
nayao.,就那樣嗎?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-pear_ipay.xml,standard,UNKNOWN,lexeme,train
tangayaoan.,在前面。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-relatives_buya_ngengi.xml,standard,UNKNOWN,lexeme,train
en.,好的。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-relatives_buya_ngengi.xml,standard,UNKNOWN,lexeme,train
mlazyo.,穿過,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-map_buya.xml,standard,UNKNOWN,lexeme,train
tanaongan.,在山上,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-map_syulan.xml,standard,UNKNOWN,lexeme,train
mai.,沒有。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_buya.xml,standard,UNKNOWN,lexeme,train
Raylikoz.,最後。,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_buya.xml,standard,UNKNOWN,lexeme,train
qemizoan,居住,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
lawlaw,島嶼;國家,Formosan-ePark/Final_XML/ep3_文化篇/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
