dru,english,source,kindOf,dialect,row_type,split
sabaw.,Goodbye.,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-princess balenge_balenge.xml,standard,UNKNOWN,lexeme,train
niane.,so.,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-becenge_tagas.xml,standard,UNKNOWN,lexeme,train
ala.,then,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,standard,UNKNOWN,lexeme,train
cekele.,nest,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,standard,UNKNOWN,lexeme,train
sigo.,hornet,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,standard,UNKNOWN,lexeme,train
barognolo.,hole,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-frog_Bajiaying.xml,standard,UNKNOWN,lexeme,train
maelanenga.,Thanks.,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-pear_Legeai.xml,standard,UNKNOWN,lexeme,train
sabaw.,Thanks.,Formosan-NTU/Final_XML/Stories/Rukai/Rukai_RukaiNr-ghost lake_Balenge.xml,standard,UNKNOWN,lexeme,train
iya'e.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
omiki.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
eene.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Eastern_Rukai.xml,standard,Eastern,lexeme,train
iyo.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
iké.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Maolin_Rukai.xml,standard,Maolin,lexeme,train
ono.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Wutai_Rukai.xml,standard,Wutai,lexeme,train
Yakay.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Wutai_Rukai.xml,standard,Wutai,lexeme,train
yakai.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Dawu_Rukai.xml,standard,Dawu,lexeme,train
e'e.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Dona_Rukai.xml,standard,Dona,lexeme,train
'iyakay.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Rukai/Dona_Rukai.xml,standard,Dona,lexeme,train
maeaea,one,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
madho'a,two,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
matolro,three,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
ma'epate,four,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
malrima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
maeneme,six,Formosan-ePark/Final_XML/ep2_學習詞表/Rukai/Wanshan_Rukai.xml,standard,Wanshan,lexeme,train
