ssf,chinese,source,kindOf,dialect,row_type,split
anoniza!,謝謝!,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ia'ihonoan!,換你一下!,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapakanshihala,摔角。,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashashdooiza.,已經同意,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matansharapiza,黃昏天將暗時,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
paytonakiza,被我斬斷了,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shaonatazaihon,到你那裡,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
anshaishoan!,輪換一下!,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
inanoro!a'ishwoaqan.,要注意!會燙到。,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makinpiza?,一共幾層?,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ilhalhongqoan,坐車的地方,Formosan-ILRDF_Dicts/Final_XML/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
sazom,水,Formosan-ILRDF-YouTube-Videos/Final_XML/Thao/47.xml,standard,UNKNOWN,lexeme,train
zain,叫做;稱為,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
Thao,人;邵族,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
inai,在,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
proq,土地,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ifafaw,上面,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
manasha,很多,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tataal,一樣的,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
malhinona,說話,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
lalawa,話語;語言,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kazakazash,傳統風俗習慣,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
thoini,今天,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pinatashanan,登錄,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
itia,有,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shaba,百,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kataonan,部落;聚落,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kahiwan,從前,Formosan-ePark/Final_XML/ep3_文化篇/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
