sxr,chinese,source,kindOf,dialect,row_type,split
koatahlamʉako.,我不要嘗試。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanako.,我的。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanaisa.,他的。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
isikanahlamo.,我們的。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
koliasasalako.,我正在開路。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
macoisai?,真的嗎?,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
paarivakʉsʉako.,我被打了。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
papalaoako!,等我!,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
piravahlitoko.,付錢。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kotarapohlipohlisana.,他沒有洗乾淨。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
somasahlʉpʉakoisana.,我看不起他。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
ahlavoakoia?,帶我去好嗎?,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
hlimasʉripicoi?,你洗臉了嗎?,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kiaintavangʉ.,挖芋頭。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kialohloa.,挖深。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kiamairango.,挖地瓜。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kiavato'o.,挖石頭。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
kiavokori.,挖山藥。,Formosan-ILRDF_Dicts/Final_XML/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
siarokatotoroana,師徒制,Formosan-ILRDF-YouTube-Videos/Final_XML/Saaroa/52.xml,standard,UNKNOWN,lexeme,train
araohloso,遷居;搬離,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
tahlana,社群,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
movavilihli,後裔,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
pakitorohlipimia,文獻,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
alokavavalʉ,通婚,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
rahloa,長期,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
cocolikanana,鄰近,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
poalangʉlangʉ,重視,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
matarongahlʉ,總共;一共,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
mavacangʉ,豐富,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
vongʉka,文化,Formosan-ePark/Final_XML/ep3_文化篇/Saaroa/Saaroa.xml,standard,UNKNOWN,lexeme,train
