szy,chinese,source,kindOf,dialect,row_type,split
milabin.,我們在馬立雲部落過夜。,Formosan-ILRDF_Dicts/Final_XML/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
hang,是的,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
no....,嗯,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
haw,是的,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
ta,就,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
taw,嗯,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
haw,嗯,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
sanaany,是這樣的,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
ca,餒,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
tatenga,真的,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
hani,這,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
hay,是,Formosan-ILRDF-YouTube-Videos/Final_XML/Sakizaya/357.xml,standard,UNKNOWN,lexeme,train
a'am,粥,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
abala,肩膀,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
acawa,丈夫;先生;妻子;太太;配偶,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adidi,小,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adidik,小,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adiding,一點點;少,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adipapang,蝴蝶,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
adiwawa,孩童,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ahcid,鹹,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ahmaw,輕,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
akenek,苦,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
aledah,辣,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ama,父親:岳父,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ancila,明天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ano,如果,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
anocila,後天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
anoyaan,何時,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
atay,肝臟,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ato,和;與,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
awang,痛,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
awok,竹子,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ayam,鳥,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ayaw,之前;前面;前方,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
ayza,現在,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
babalaki,老人;長者,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
badahong,屋頂,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baeket,重,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baeto/ba'to,石頭,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bahel,飛,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bayi,祖母;外婆;女性長者,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bakan,番刀;獵刀,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baki,祖父;外公;男性長者,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balaki,長大,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balangbangan,秋天,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balaot,青蛙,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bali,風,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
baliyos,颱風,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balo,花朵,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balohang,胸部,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balohay,新的,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
balonga,船,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
bangcal,漂亮;美麗,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
banges,皮;皮膚,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
banoh,毛,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
batad,遠,Formosan-NTU/Final_XML/Grammar/Sakizaya/Sakizaya.xml,standard,UNKNOWN,lexeme,train
