tao,chinese,source,kindOf,dialect,row_type,split
kabedbedan,概括的、所有的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macitarek,不一樣、不同,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapanadnad,會尊重、具同理心,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macisidosidong,互助合作,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zikzikna,使出的勞力,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavonong,分布、分配,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macilolo,跟著、隨著,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipapia,變好、改善,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maciangangey,也列入、也在其中,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
somidong,協助、幫忙,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ciriciring,語言,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malalavayo,年輕的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pangangavangan,載物的工具、外地人,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ngongyod,最真實的、真正的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iwawalam,生活習慣、傳統文化,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
karatayan,平原,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kakawan,天氣,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitapitapil,層層相疊,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teymavalang,很炎熱、很高溫,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ahehemian,冬天,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamimin,全部,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangahahap,捕撈的工作,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mirayon,飛魚季,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mazikna,很辛苦,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makasasnad,來臨、到來、抵達,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nikarongan,挖過、鋤過,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mawagwag,荒廢,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomitatahapis,連續、接二連三,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipangavavat,備用的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipakatkat,提升、改善,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
raheten,覺得不好,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kaloalovotan,公共的、全部的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
vazavazay~vazavazey,各項事務、各項工作,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pangozayan,依照、根據,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macingosongso,為民喉舌,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malas,錯的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipangavangavey,褻瀆,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makasazi,遇到、遇見,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapatoro,賠償,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
zakata,弄死,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malimot,圍繞著,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapangyangyalak,令人驚訝,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
katangked,旁邊,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
malavang,白色的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
abneken,指定,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kakahasan,山、森林,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
alikey,小一點,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitarek,不同,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nomakoa,將來、以後,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mavaheng,黑色的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
macivahey,一起住,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikakcin,飢荒,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kankanen,食物,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kapeleh,變少,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipivaci,豐年祭、作為歡樂源由,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mipeypapia,愈來愈便利、愈來愈好,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meylingalingey,旅遊觀光、看一看,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
akteben,剪斷、割斷、砍斷,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kapitolatolang,將之接起來、連起來,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
parparngen,苧麻絲、重複製作,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kalian,挖掉,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tatanangan,階梯、上去之處,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pangzekan,抽吸,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pakowbotan,出口,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
paciamizingan,聆聽、傾聽,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
niapoan,父母,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikeysakan,從事潮間帶採集,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
minapodpod,子女、親生的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
migonagoney,動來動去、不專注,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mianoanood,在唱歌,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pikariag,拍著手,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apeleh,很少,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mayokay,醒著、醒來,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pamizingen,唱給人聽、告訴,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tomalamozong,負責,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mitatala,造拼板舟,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
teymasasalit,非常艱苦、非常困難,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
makekdeng,重要的,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mapatarek,另立、另組,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
miciakayon,相親,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tamtamek,信物、瑪瑙珠串,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sazaban,燒烤,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
maciakan,共食、跟著吃,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
nimisinmo,有結婚、有相遇,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
pangtoktoan,觀念,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
meyketeketeh,兄弟姊妹,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mangavas,將舊水芋頭挖掉,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikehkeh,將舊的地瓜挖掉,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
amoamoonen,傳承,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
izavoz,搭配,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipangaciocioy,餽贈,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
inanao,受教育,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yakan,主菜,Formosan-ePark/Final_XML/ep3_文化篇/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
