tay,english,source,kindOf,dialect,row_type,split
ango.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kyan.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
aw.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/Zeaol_Atayal.xml,standard,Zeaol,lexeme,train
maki.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/Sekolik_Atayal.xml,standard,Sekolik,lexeme,train
ho'.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/Wanda_Atayal.xml,standard,Wanda,lexeme,train
owal!,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/Wenshui_Atayal.xml,standard,Wenshui,lexeme,train
kiya.,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/Wenshui_Atayal.xml,standard,Wenshui,lexeme,train
oya,Yes.,FormosanBank/Corpora/ePark/XML/ep2_情境族語/Atayal/FourSeasons_Atayal.xml,standard,Four Seasons,lexeme,train
otox,one,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
sa'ing,two,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
togan,three,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
payat,four,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
magan,five,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtiyo,six,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mpito,seven,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mspat,eight,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
m'eso,nine,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mpo,ten,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mposan,twenty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtiyon,thirty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mspaton,forty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
myiman,fifty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kbhon,hundred,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cikah,some,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mn'otox,once,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lhogon,bunch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
oboy,kind,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mnsa'ing,pair,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kwara,entire,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cmka,half,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
so,you,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kinang,I,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
heya,he,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cami,us,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
naha,they,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mamo,yours,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ta,our,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
naha,their,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
so,your,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mo,mine,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
nya,his,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cami,we,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ita,let's,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ta,ours,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kwaca,that,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
cahay,here,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
haca,there,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lalo,what,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ima,who,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ino,where,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mhcwa,what,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yaba,dad,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yaya,mom,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mrawin,cousins,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
swagi,sister-in-law,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ina,daughter-in-law,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lmago,grandchild,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
likoy,husband,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mtswe,sibling,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ksoyan,brother,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mama,uncle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yata,aunt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lalo,name,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lpyong,friend,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
nerin,female,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
likoy,male,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
c'oli,people,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
paris,enemy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kesaco,police,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ckoko,mainlander,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
krakis,miss,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
papak,ear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
moyi,thigh,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
royi,eye,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
r'eyas,face,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
n'wa,mouth,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
tonox,head,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kamit,fingernail,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
'ba,hand,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
he,body,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
ngoho,nose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kakay,foot,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
g'nox,teeth,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
snonox,hair,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
moyox,blood,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
he,meat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
lihoy,forehead,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
kto,belly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bobo,breast,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
mryo,calf,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
hngali,shoulder,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
blit,chin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
toro,back,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yola,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
bhelok,lung,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
yoron,heart,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
heko,elbow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Atayal/YilanZeaol_Atayal.xml,standard,Yilan Zeaol,lexeme,train
