tsu,chinese,source,kindOf,dialect,row_type,split
pasʉaʉlʉ,箭竹,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maisica,"像今天,像那個",Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yopasʉ'fʉnʉ.,互相擁抱.,Formosan-ILRDF_Dicts/Final_XML/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
evi.,是樹。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
o'a.,不是。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
singenoli.,Singenoli。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
ia.,有啊。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
'ia.,"喔,這樣子。",Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
heetai?.,當兵?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
a'ʉmtʉ.,真的?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-informants.xml,standard,UNKNOWN,lexeme,train
Yingkaidoyola.,應該都有。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
pamaine'e?.,讓你們回家嗎?(是不是就這樣子給你們回家?),Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
soyomohe.,反而去侵略。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
koshioso.,講習所。,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
asngʉcʉc'o,一直都,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
micoc'o,僅只有,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
taot'ova,搖動,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tmocoo,轉變成為人,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
bʉs'ʉfeʉ,儀式的一種,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ekobi,蓋聖所,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
ceoceonato,我們的足跡、我們的文化,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
se'voeva,800,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
moc'o,僅只有,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
posifoo,1000,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tapangʉana,屬達邦,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pooftongaveoveo,觸口,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
niae'ocna,里佳,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
tamayaeana,山美,Formosan-ePark/Final_XML/ep3_文化篇/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
