ckv,english,source,kindOf,dialect,row_type,split
en.,Yes.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-weaving_abas_ipay3.xml,standard,UNKNOWN,lexeme,train
m.,Yes.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,lexeme,train
haw.,Really?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-marriage_abas_pilaw.xml,standard,UNKNOWN,lexeme,train
haw.,Yeah.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
tisiciang?.,Siciang?,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
n.,Yes.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
Rana.,Flowers.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
qakikya.,Soon.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-earthquake_abas_haciang.xml,standard,UNKNOWN,lexeme,train
tazian.,Here.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_api2.xml,standard,UNKNOWN,lexeme,train
an.,Yes.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
kyataya.,Damn!,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_kavCon-speech_buya_syulan.xml,standard,UNKNOWN,lexeme,train
a.,A.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-banana trees_abas_ipay2.xml,standard,UNKNOWN,lexeme,train
tmanan.,returned.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-pear_imuy.xml,standard,UNKNOWN,lexeme,train
en.,Okay.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavCon-relatives_buya_ngengi.xml,standard,UNKNOWN,lexeme,train
smaqay.,walked.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-map_syulan.xml,standard,UNKNOWN,lexeme,train
Raylikoz.,Finally.,Formosan-NTU/Final_XML/Stories/Kavalan/Kavalan_KavNr-frog_buya.xml,standard,UNKNOWN,lexeme,train
yao.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ossiq,one,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
ozosa,two,Formosan-ePark/Final_XML/ep2_學習詞表/Kavalan/Kavalan.xml,standard,UNKNOWN,lexeme,train
