pwn,english,source,kindOf,dialect,row_type,split
oii.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
izoa.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
oi,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Paiwan/Eastern_Paiwan.xml,standard,Eastern,lexeme,train
oi.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Paiwan/Central_Paiwan.xml,standard,Central,lexeme,train
makaya.,Alright!,Formosan-ePark/Final_XML/ep2_情境族語/Paiwan/Northern_Paiwan.xml,standard,Northern,lexeme,train
ita,one,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
drosa,two,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tjelo,three,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
sepatj,four,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
lima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
onem,six,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
pitjo,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
alo,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
siva,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tapoloq,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
taiday,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
tokedri,some,Formosan-ePark/Final_XML/ep2_學習詞表/Paiwan/Southern_Paiwan.xml,standard,Southern,lexeme,train
