pyu,english,source,kindOf,dialect,row_type,split
ai.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
olra.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
aiwa!,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Nanwang_Puyuma.xml,standard,Nanwang,lexeme,train
ollaya.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Puyuma/Nanwang_Puyuma.xml,standard,Nanwang,lexeme,train
sasaya,one,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
dodowaya,two,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
totolowa,three,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
papata,four,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
lrolrowaca,five,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nanema,six,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
pitowa,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
walowalowa,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
iwaywaya,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
mokecep/polo',ten,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makaveca'an,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makatelon,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makapetelr,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makalrowac,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makanemen,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makapiton,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makawalon,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
makaiwan,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
leman,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
pakiwalay,some,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
parasan,once,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sapongor,bunch,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
mawan,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
sa'ecev,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
peniya,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
parekadowa,half,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ino/o,you,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ko/ingko,I,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
intaw/to,he,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
mi/iniyam,us,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nado,they,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nanmo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
naniyam,our,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nantaw/nintaw,their,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nanno/ninmo,your,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nangko/ningko,mine,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nanto/ninto,his,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
mi,we,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
ta,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
nanta/ninta,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Puyuma/Jianhe_Puyuma.xml,standard,Jianhe,lexeme,train
