ssf,english,source,kindOf,dialect,row_type,split
oa.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tata,one,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tosha,two,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
toro,three,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shpaat,four,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tarima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
katoro,six,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
pito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
kashpat,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
tanatho,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
makthin,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
maposhaz,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
matoroz,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mashpatiz,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
marimaz,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
mapito'on,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
shaba,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
ladado,some,Formosan-ePark/Final_XML/ep2_學習詞表/Thao/Thao.xml,standard,UNKNOWN,lexeme,train
