tao,english,source,kindOf,dialect,row_type,split
ipanchi-ta,saying,Formosan-Old_Texts/Final_XML/Wakelin_Yami/Kangkang.xml,standard,UNKNOWN,lexeme,train
noon.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yamyan.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
tangang?,Why?,Formosan-ePark/Final_XML/ep2_情境族語/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asa,one,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
adoa,two,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
atlo,three,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apat,four,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
alima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
anem,six,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
awao,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
asiyam,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
apereh,some,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ipisa,once,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikapira,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mikadwa,pair,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
mamimin,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
kakteb,half,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
imo,you,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yaken,I,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iya,he,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
yamen,us,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sira,they,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
inyo,yours,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
namen,our,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
sira,their,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
imo,your,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
iya,his,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
namen,we,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
jyaten,let's,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ta,ours,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
ito,that,Formosan-ePark/Final_XML/ep2_學習詞表/Yami/Yami.xml,standard,UNKNOWN,lexeme,train
