trv,english,source,kindOf,dialect,row_type,split
oxe.,No.,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog1_ciwas_tiwas 2021s.xml,standard,UNKNOWN,lexeme,train
om.,Um.,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog1_ciwas_tiwas 2021s.xml,standard,UNKNOWN,lexeme,train
on.,Yes.,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog2_ciwas_tiwas 2021s.xml,standard,UNKNOWN,lexeme,train
jyonisay.,twelve?,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog2_ciwas_tiwas 2021s.xml,standard,UNKNOWN,lexeme,train
on.,OK.,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog2_ciwas_tiwas 2021s.xml,standard,UNKNOWN,lexeme,train
on.,Right.,Formosan-NTU/Final_XML/Stories/Seediq/Seediq_sdqCon-dialog3_robo_bakan 2021s.xml,standard,UNKNOWN,lexeme,train
Iyaq.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
Niqan.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
Un.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
Niqal.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
Koson.,tomorrow.,Formosan-ePark/Final_XML/ep2_情境族語/Seediq/Tegudaya_Seediq.xml,standard,Tegudaya,lexeme,train
kingal,one,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
dha,two,Formosan-ePark/Final_XML/ep2_學習詞表/Seediq/Duda_Seediq.xml,standard,Duda,lexeme,train
