tsu,english,source,kindOf,dialect,row_type,split
evi.,Tree.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
o'a.,No.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_None-1.xml,standard,UNKNOWN,lexeme,train
a'ʉmtʉ.,Really?,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-informants.xml,standard,UNKNOWN,lexeme,train
zoo.,Yes.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
mio.,Fine.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
koshioso.,Koshiuso.,Formosan-NTU/Final_XML/Stories/Tsou/Tsou_TsouConv-typhoon.xml,standard,UNKNOWN,lexeme,train
naho.,Sure.,Formosan-ePark/Final_XML/ep2_情境族語/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
coni,one,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
yoso,two,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
toyo,three,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
sʉptʉ,four,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
eimo,five,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
nomʉ,six,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
pito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
voyo,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
siyo,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉ,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mskʉocni,eleven,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉoeso,twelve,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉoteo,thirteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉospotʉ,fourteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
mʉskʉoemo,fifteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉonmʉ,sixteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉopto,seventeen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉoveo,eighteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
maskʉosio,nineteen,Formosan-ePark/Final_XML/ep2_學習詞表/Tsou/Tsou.xml,standard,UNKNOWN,lexeme,train
