xnb,english,source,kindOf,dialect,row_type,split
necʉre.,Look!,Formosan-NTU/Final_XML/Stories/Kanakanavu/Kanakanavu_kkvNr_domestic_troubles_Muu.xml,standard,UNKNOWN,lexeme,train
vʉra.,rice.,Formosan-NTU/Final_XML/Stories/Kanakanavu/Kanakanavu_kkvNr_domestic_troubles_Muu.xml,standard,UNKNOWN,lexeme,train
arapanaa.,Run!,Formosan-NTU/Final_XML/Sentences/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
piapacaio!.,kill!,Formosan-NTU/Final_XML/Sentences/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ʉʉ'ʉ!,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
'aveni.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ocani,one,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
orocin,two,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
otoro,three,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
osʉpatʉ,four,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
orima,five,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
onʉmʉ,six,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
opito,seven,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
oaro,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
osia,nine,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
omaan,ten,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maposan,twenty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
matoon,thirty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
masʉpatʉʉn,forty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maimʉʉn,fifty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
manʉmʉn,sixty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mapitoon,seventy,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
maroon,eighty,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
masiʉn,ninety,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mʉna,hundred,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ti'ingi,some,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
makaan,once,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
masikaranana,kind,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kavangvang,entire,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mana'ʉ,half,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
kaso,you,Formosan-ePark/Final_XML/ep2_學習詞表/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
