xsy,english,source,kindOf,dialect,row_type,split
oh.,DM,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear3_kalaeh a taro_.xml,standard,UNKNOWN,lexeme,train
pil'awan.,Goodbye.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,lexeme,train
ma'alo'.,Thanks.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,lexeme,train
'oka'.,No.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
to:o'.,Three.,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
hayno'.,Where?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
'ihi'.,BC,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
'a:ay.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hayza'.,Yes.,Formosan-ePark/Final_XML/ep2_情境族語/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'aehae',one,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
roSa',two,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
to:o',three,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sopat,four,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
haseb,five,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
SayboSi:,six,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
maykaSpat,eight,Formosan-ePark/Final_XML/ep2_學習詞表/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
