xnb,chinese,source,kindOf,dialect,row_type,split
'apiivato,使來,Formosan-ILRDF_Dicts/Final_XML/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
mamacai.,死了。,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ma'acono.,流走。,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aka,壞的;不好的,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
anani,右邊,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
anisi,牙齒,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ano,蜜蜂;蜂蜜;蜂巢,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aracaini,遠,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
araceni,遠,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
araceen,遠,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aracakanʉ,打獵,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aracan,近,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
araciasʉ,天亮,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aracʉvʉrʉ,生長;成長,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakicacʉ,嚇一跳,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakokono,一起;相處,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakokoon,一起;相處,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arakoracʉ,生氣;氣憤,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aramia'ʉ,起床;醒了,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aranai,從,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arapana'ʉ,跑,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arapipiningi,出去;出現,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
arapipining,出去;出現,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
ararira,烏龜,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aratakara,起來;站起來,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aratatia,長大,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
aratʉkʉnʉ,分開,Formosan-NTU/Final_XML/Grammar/Kanakanavu/Kanakanavu.xml,standard,UNKNOWN,lexeme,train
