xsy,chinese,source,kindOf,dialect,row_type,split
'ilbalbalay!,慢慢喝!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'itayso:ani!,不要理會!,Formosan-ILRDF_Dicts/Final_XML/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kapaSekla'an,簡介,FormosanDeclarationofHumanRights/Final_XML/saisiyat_seals.xml,standard,UNKNOWN,lexeme,train
min'itol.,起來。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,standard,UNKNOWN,lexeme,train
oh.,DM,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear3_kalaeh a taro_.xml,standard,UNKNOWN,lexeme,train
sirae'aew.,他們沒有把所有的技術教給他們。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel_parain a _oemaw.xml,standard,UNKNOWN,lexeme,train
sahoewisin.,他們討厭雷女。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-kathethel_parain a _oemaw.xml,standard,UNKNOWN,lexeme,train
ka.,一隻貓頭鷹出來了。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,lexeme,train
pil'awan.,再見。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_Sainr-frog4_lalo a tahaeS.xml,standard,UNKNOWN,lexeme,train
ma'alo'.,謝謝。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-pear1__oemaw a _obay.xml,standard,UNKNOWN,lexeme,train
tangtang.,你有沒有挖土?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
'oka'.,不是。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
'ititi'an.,沒那麼多錢啦。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
patpatalpeteh.,剪剪一些東西。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
to:o'.,三個。,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
hayno'.,在哪裡?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
SaiSiyat.,他們是賽夏人嗎?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
say'ino'.,他們是哪裡人?,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
'ihi'.,BC,Formosan-NTU/Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-life_waon a boong.xml,standard,UNKNOWN,lexeme,train
pinatiyay,田地,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
komi:im,尋找,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
katal'oemaehan,耕作地,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pa:aw,平原,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
manakiS,上行,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
papanae',打仗,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kashaw,茶、茶樹,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minhae:ar,崩山,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pawhi:il,挑選,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
baba:i',風姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tawtawazay,豆姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
hayawan,夏姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sa:wan,潘姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaybaybaw,高姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tanohila:,日姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
karkarang,解姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sayna'ase:,芎姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
minrakeS,樟姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
botbotol,胡姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tabtabilas,膜姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
karkaramo',血姓,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'e:nawan,美麗、漂亮,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sinbil,遺留的、傳達的,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
Sinarakan,所踩下的步伐,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'iriri:i',豎立、站立,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kapatalayan,受阻處、障礙點,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'a'elet,阻擋物;防線,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tilka:an,明亮的樣子,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
kaboehoel,百,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'as'asangan,聚集村落,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
romaylis,搶奪,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tomrong,驅使、使喚,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tatoba',毒、農藥,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
'ititi'an,很少、少量的,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
pin'a'ehe:an,堅持的、迫使的,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
talboyoe',大型狩獵;圍獵,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
homabos,祭告;贖罪,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
tiSiSil,鳥占,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
topa:,炫耀,Formosan-ePark/Final_XML/ep3_文化篇/Saisiyat/Saisiyat.xml,standard,UNKNOWN,lexeme,train
