ami,english,source,kindOf,dialect
Fangcalay 'Adingo,Holy Spirit,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
paki'afala a mi'orong,to carry on the shoulders,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'akong ko sowal,false words,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pa'aliwac,to take time off to do something,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'alo no coco,woman's breast,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
kasa'alo'alo,the humps of a mountain range,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'angrer ko sowal,words that hurt,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'angsitay a koyo',a skunk,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'arawen kami toya nitatoyan iso.,Show us what you are holding.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'araw cingra to demak nira.,He revealed what he was doing.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
saso'araw kita anini.,We get to see each other today.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tayra kami a milood cangraan. 'Arawhani papatapatay cangra o Taroko.,We went to fight them. Instead they the Taroko were killing themselves.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'arsak ko hemay.,The rice is hard and under-cooked.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'arsak ko amoto.,The cement doesn't have enough water in the mixture.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'atkak ko faloco',stubborn,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'atkak ko 'aca,expensive,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'atol a kakoreng,edible plant,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'atomo no riyar,Olaunpi fig,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
aka ka 'ca,do by all means,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
caay ka 'ca,definitely,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O nika'caan pidemak ko nga'ay.,It is best not to do it.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'co no 'aol ko nipalomaan a losay.,The bamboo crowds out fruit trees that were planted.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
mi'def to loma',to close the house up,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Mi'def ko simal to riyar.,The ocean has a large oil slick.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'fawen ako cingra tonini a tayal.,I contracted out to him the work.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ci'icel ko faloco',courageous,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
pa'icelay a sowal,words of encouragement,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
sa'icel kako,I strive,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O 'icel no pitoor nira konini.,This is evidence of his spiritualityh.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'icelen cingra to sakacaaw ka tolo' nira.,Exhort him so that he won't fail.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
masa'ika'ikayay a so^da,hail,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'ikes ko faloco',mature in attitude,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'ikes ko tireng,to have a good healthy body,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'ikes ko kilang,the tree is solid,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'imer to tireng,have good morals and high standards,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'imer to sowal,keep commandments,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'imer to riko',well groomed,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Misa'imer ko Farisay a tamdaw to demak Yis.,The Pharisees watched what Jesus did.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
'inorong no faloco',heavy hearted,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O mala'isal kamo tatosa toya omah.,The two of you will share the field.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'iwil kako toya sowal nira.,I don't like what he said.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
cecay no 'li',one hundred,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
cecay a 'li'an,one hundred,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Ma'loc no nanom ko fokeloh.,The rocks are worn by the water.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
ma'min a makaen,everything is eaten,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Tayra kita a ma'min.,All of us will go.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Pa'min han cingra a pafeli.,Give it all to him.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
minecnec to mata,to crush one's eye,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
O ma'ngiday a kilang konini.,This is an unhealthy tree.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
Awaay ko 'ngiw.,Not a sound can be heard.,FormosanBank/Corpora/Virginia_Fey_Dictionary/XML/Amis.xml,standard,UNKNOWN
