tay,english,source,kindOf,dialect
biro na Soto Chay ing-wen 'miwan Sexo' tmatok tonox sa Genzyominzok,President Tsai Ing-wen's Apology to the Indigenous Peoples on Behalf of the Government.,FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"nano' sqo ryax na mposal sazing kawas wayal qasa ga,wal sbahon kya nqo Horit na Thaylow maha ""Genzyomin"" qo knosa ta' naha' maha ""Sanpaw"" sraral la. nano' qo ginrhow naha' smbalay lalo' qani ga, iyat nanak maha wayal naha' laxan lqo niwan sinllwan na cinsqiri' naha' nanak,niwan nyox naha' sbbaq maha Genzyominzok hya' ga ""spzyang balay cinrhzyal Taywan qani"" qo lalo' naha'. skahol ta' sqo knita' balay qani mita' ga, kira' qani ga, sikiy pkkrawn ta' qo knita' qani la. kin'wanay mako' sexo' tmatok tonox sa kwara' simo ka Genzyominzok. ta ryax spayat kbhol kawas wayal qani ga, wayal simo balay mqzinot ro ini' simo naha' 'nblayqiy mlahang, anay mako' 'miwan sexo' tmatok tonox sa kwara' simo ka Genzyominzok.","On this day 22 years ago, the term ""shanbao"" (mountain people) in the Additional Articles of our Constitution was replaced with the proper name: ""indigenous people"". This correction not only did away with a discriminatory term, but also highlighted the status of indigenous peoples as Taiwan's ""original owners"". From this basis, today, we are taking another step forward. To all indigenous peoples of Taiwan: On behalf of the government, I express to you our deepest apology. For the four centuries of pain and mistreatment you have endured, I apologize to you on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"baqon mako' maha, tehok sawni' qnai ga, maki' na' sqoliq moci swa' lxon tmatok tonox. ga nano' ya qani qo, nyox mako' s'iwan sexo' tmatok tonox qani. nano' kwara' ka gaga' niya' qo sawn maha knita' naha' sa ini' naha' ptnaqiy mita' simo qani, ini' ga, kwara' ka kinmxyalan glow na bbzinah ka yan simo qani ga, gaga' nqo songos niwan mosa' Hatteng na ita' sqoliq maha ga, yani qo nyox myan s'rox sqani ssawni' qani, aki' msbah cikay qo knita' sami sa minqso' balay maha sako'.","I know that even now, there are some around us who see no need to apologize. But that is the most important reason why I am representing the government to issue this apology today. To see what was unfair in the past as a matter of course, or to treat the pain of other ethnic peoples as an unavoidable part of human development, this is the first mindset that we, standing here today, resolve to change and overturn.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"anay mako' kmal na mosa' 'llaw na kay', kmayal sqo nano' qo nyox myan s'owah tmatok tonox sqo simo ka Genzyomin qani ? rhzyal Taywan qani hya' ga, maki' sa spayat kbhol kawas wayal lga rima' kya sqoliq maki' sa rhzyal qani la, kwara' sqoliq qani ga, yasa minblaq mqyanox sa qnxan naha' nanak, maki' nanak ke' naha, Gaga' naha', Gaga' na qqyanox naha' ro qzyonam naha'. sawn kasa lga, iyat snwalan nqo cinrhzyal ro nyox wahan na sqoliq kahol bzinah qo rhzyal qani la.","Let me put in simple terms why we are apologizing to the indigenous peoples. Four hundred years ago, there were already people living in Taiwan. These first inhabitants lived their lives and had their own languages, cultures, customs, and domains. But then, without their consent, another group of people arrived on these shores, and in the course of history, took everything from the first inhabitants who, on the land they have known most intimately, became displaced, foreign, non-mainstream, and marginalized.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"sawn maha pins'olah na rikisi' qani hya' ga, nano' yaqo mnhlhil mwah na sqoliq mwah zmingat sa ana nano'nasqoliqminqso'. maymawmtzyowazyowaw sqo rhzyal naha' nanak, yan nqo laha' qo tmnwang, ro iyat laha qo spzyang cinrhzyal la, ro niwan nyox naha' sqtqot tay syaw ka ini' kt'aniy ana cikoy na sqoliq. thozyay mrayraya' qo lalo' na sqoliq ga, hazi' ana skahol naha' sa kmxyalan na sqoliq ps'rox sqo ttman lalo' naha'. baqaw ta' i siki ini' ta' kayal maha sami qo spzyang balay maki' Kogi' na qalang maha ga! mosa' naha' psiy balay maha balay balay qo Rikisi' qnai mita' la, nano' yasa qo si ki skayal ta' qo zyowaw balay qani. ro spzyang balay ga, si kiy inblayqon naha' minbzinah lmnglong balay kwara' qo zyoaw wayal, nano' ya qani qo nyox mako' ss'rox sqani ssawni' qani.","The success of one ethnic people can be built on the suffering of another. Unless we deny that we are a country of justice, we must face up to this history. We must tell the truth. And then, most importantly, the government must genuinely reflect on this past. This is why I stand here today.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"kya qotox biro' ka sawn maha ""Taywan tongso'"". cyox niya' pglaingon balay kmayal hya' ga ""iyat pinqmahan qo Taywan qani. Oranta' qo mwah mnazyang, Cncngkong qo mtzyoaw, Plmokan qo minlahang. "". qani hya' ga pzyang balay knita' nanak na Plmokan qani hya'. Genzyominzok hya' ga, ki'a rima' sqaniy sa pira' syan msyaw kawas kinki'an naha' sqani laha' la, cingay balay Gaga' naha' ro snyan naha' kinbleqan na tonox sa rhzyal qani, ro nyox naha' ini' lxaniy 'molah tehok miso qaniy. aw' ga, nyox ta' siy khlaniy sqo inlongan na kya qo lmaqox na glow miro' sqo Rikisi', nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Genzyominzok qani.","There is a book called ""The General History of Taiwan"" published in 1920. In its foreword are these words: ""Taiwan had no history. The Dutch pioneered it, the Koxinga Kingdom built it, and the Qing Empire managed it."" This is a typical Han view of history. The truth is that indigenous peoples have been here for thousands of years, with rich culture and wisdom that have been passed down through generations. But we only know to write history from the perspective of the dominant. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"nano' qo wayal pktnoxon na Oranta' ro Cncngkong, ro wayal naha' qawlon aki' qqblaq mqyanox na Pingpoco', ro wayal phqilon na Plmokan sqo mtciriq sa Genzyomin, ro wal si kzyawpi qsahoy rgyax na Gipon mwah mlahang, ro mocing sa tmasoq mtciriq ka mwah lqo Cyokaminkok, mwah psbaq sa qqyanox na Plmokan lqo Genzyomin qani. ta ryax spayat kbhol kawas qani ga, kwara' qo mnwah Taywan ka Sexo' ppklahang qani ga, spwah naha' sqo mwah qmalop smbo' sa Genzyomin, mwah zmingat rhzyal, yasa si naha' pcqihiy kwara' qo inllongan kwara' na Genzyomin qani. nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sqo Genzyominzok qani.","The Dutch and the Koxinga Kingdom massacred and exploited the Pingpu ethnic group. The Qing Empire presided over bloody confrontations and suppression. Colonial Japan put in place comprehensive savage policies. And the post- war ROC government undertook assimilation policies. For 400 years, every regime that has come to Taiwan has brutally violated the rights of indigenous peoples through armed invasion and land seizure. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"kahol sqo Gaga' naha' nanak 'molah mlahang sqo qnxan naha', ro kahol naha' sa kinblayqan tonox naha' mlahang sqo mosa' mtnaq mbhoyaw kwara' mnqyanox cyox maki' sqo qsahoy na lhlahoy. aw' ga, maki' sqo pins'rox Gaga' na Sexo' qani qo Genzyomin qani ga, wal si kawngat kwara' qo Kinri' na kklahang naha' nanak sa qqyanox naha' la. kwara' qo Gaga' na kklahang naha' sa qalang naha', ro kwara' qo Ggga' na paylhoyan naha' ozi lga, ini' naha' saysay ozi. nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Genzyominzok qani.","Indigenous peoples maintain tribal order according to traditional customs, and ecological balance according to traditional wisdom. But in the process of modern state-building, indigenous peoples lost the right to steer their own course and govern their own affairs. The fabric of traditional societies was torn apart, and the collective rights of peoples were not recognized. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"balay ga mnaki' nanak kay' na Genzyominzok ha, nano' aring sqo babaw na kawas Amirika' ka 1945 lqo shtoy na Sexo' kmayal sa kay' naha' nanak, memaw wal si lohing mskawngat kwara' qo kay kay' naha la. nano' qo Pinpoco' hya' lga, sisay maha wayal mskawngat balay laha' hya' la. nano' qo Sexo' sa wayal qani ga, ini' naha' si iyal inlongan balay qo kklahang sa Gaga' na Gezyominzok qani, nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Genzyomin qani.","Indigenous peoples had their own languages. However, with Japanese rule aiming to assimilate and turn all into imperial subjects, and with the ROC government banning tribal languages after 1945, indigenous peoples' languages suffered great losses. Most Pingpu languages have disappeared. Successive governments have been negligent in the protection of indigenous cultures. For this, I apologize to the indigenous peoples on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"nano' sqo kawas wayal qasa ga, ini' baqi kwara' nqo sqoliq Ta'o' ga, inhyo'on mosa' smi' kya Lanyo' qo inlaxan na Hoco hweryaw. niwan nyox naha' si pqmoli sa kinmxyalan na Hoco hweryaw qo sqoliq na Ta'o' qani. nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa sqoliq Ta'o'.","Without the knowledge of the Yami tribe, the government stored nuclear waste on Orchid Island. Tribe members on the island had to suffer the negative consequences. For this, I apologize to the Yami people on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
"aring sqo wahan na kahol bzinah qo Taywan qani lga, nano' qo Pingpoco' tay saysaw wsilong qo tqso' balay wal naha' ptqihon. Sexo' minlahang laha' qani ga sbahon naha' qo lalo' naha' ro magal sa lalo' na minlahang laha , nano' ya qani qo mosa' mako' s'iwan Sexo' tmatok tonox sa Pingpoco' qani.","Ever since outsiders began arriving in Taiwan, the Pingpu ethnic group on the western plains have born the brunt of the impact. One ruling power after another eroded the individual and collective identities of the Pingpu ethnic group. For this, I apologize to the Pingpu ethnic group on behalf of the government.",FormosanBank/Corpora/Presidential_Apologies/XML/Atayal/Atayal.xml,standard,UNKNOWN
